gamma,net_flow,lower_cube_flow_out,upper_cube_flow_in,upper_cube_flow_out,upper_cube_flow,gamma_opt,gamma_a_opt,gamma_R_opt
4.71486636345739e-07,4.999999998810127e-06,2.3090453872001143e-06,-4.291034540564596e-05,5.084101986977639e-05,7.930674464130388e-06,4.714866363457386e-07,5.7329758601194684e-08,1.088730213748868e-08
8.286427728546842e-07,5.000000004306405e-06,1.942461273355053e-06,-2.384969796615721e-05,2.831144875072471e-05,4.461750784567502e-06,8.286427728546836e-07,2.7660000109807747e-08,6.981984372893445e-08
1.4563484775012444e-06,5.000000115147517e-06,1.944062921776719e-06,-2.6567649231289577e-05,3.150198818866131e-05,4.934338957371743e-06,1.4563484775012435e-06,3.1466071560189466e-08,8.295686348197924e-08
2.5595479226995334e-06,4.99999999858232e-06,1.9699423151739745e-06,-3.384041606646056e-05,4.002931809698749e-05,6.188902030526917e-06,2.5595479226995325e-06,4.2202720659601954e-08,7.279091954249705e-08
4.498432668969444e-06,5.000000029453405e-06,1.963596216371797e-06,-4.7121008625758526e-05,5.550473251305794e-05,8.383723887299395e-06,4.498432668969443e-06,6.407967373388019e-08,3.2785823566187414e-08
7.906043210907702e-06,5.000000079977013e-06,1.7454139387510169e-06,-4.4294874722641474e-05,5.198255416935411e-05,7.687679446712652e-06,7.906043210907702e-06,5.883645504921735e-08,5.4792159426901455e-08
1.389495494373136e-05,5.000000003381586e-06,1.541604527538261e-06,-4.54850365904209e-05,5.306080745629362e-05,7.575770865872767e-06,1.3894954943731364e-05,6.073102689496129e-08,5.76925491540475e-08
2.4420530945486497e-05,5.000000007057582e-06,1.3443343005131303e-06,-4.883752563906853e-05,5.651909619141979e-05,7.681570552351275e-06,2.442053094548651e-05,6.666248069355342e-08,4.6994533772950564e-08
4.291934260128778e-05,5.000000000915394e-06,1.197076323669151e-06,-4.841876198840458e-05,5.55073182725699e-05,7.08855628416521e-06,4.291934260128781e-05,6.732803001967227e-08,5.4956076087576255e-08
7.543120063354608e-05,5.00000000227702e-06,1.1022618642149797e-06,-4.789047333714937e-05,5.431241417112272e-05,6.421940833973315e-06,7.543120063354601e-05,6.93769458018746e-08,6.365873081746145e-08
0.000132571136559,5.000000060349707e-06,9.862558780413558e-07,-5.535150392910008e-05,6.201516188748124e-05,6.6636579583811695e-06,0.000132571136559,8.73907647531715e-08,3.243160399879288e-08
0.0002329951810515,4.999999979569746e-06,1.0043896286153251e-06,-5.102773801517639e-05,5.6467980602615865e-05,5.44024258743949e-06,0.0002329951810515,8.789770887190098e-08,6.353313204588177e-08
0.000409491506238,5.000000001719453e-06,1.0412291719538723e-06,-4.878903408695508e-05,5.330175306428609e-05,4.512718977331004e-06,0.000409491506238,9.555002457503297e-08,8.439149461884077e-08
0.0007196856730011,5.000000021118478e-06,1.0934812738370017e-06,-4.853994745635596e-05,5.235516825632324e-05,3.815220799967301e-06,0.0007196856730011,1.1335986555385367e-07,9.403279342199909e-08
0.0012648552168552,4.999999997977956e-06,1.373893387972796e-06,-1.808268011589276e-05,1.928035496075306e-05,1.197674844860302e-06,0.0012648552168552,5.034239951009392e-08,2.432167155305532e-07
0.0022229964825261,4.999999998043739e-06,1.2564479815101487e-06,-5.913529295000689e-05,6.214211583284599e-05,3.0068228828391364e-06,0.0022229964825261,2.2293294965291865e-07,5.936088721888051e-08
0.0039069399370546,4.99999993985337e-06,1.4206222354580425e-06,-5.0388345852931925e-05,5.231599739330192e-05,1.927651540369993e-06,0.0039069399370546,2.445983834728994e-07,1.031763477601152e-07
0.0068664884500429,5.000000000397217e-06,1.571607737218634e-06,-5.3474691955284354e-05,5.4976591247992016e-05,1.5018992927076689e-06,0.0068664884500429,3.413803899468769e-07,9.433038184876483e-08
0.0120679264063932,5.000000031276554e-06,1.519658916153693e-06,-1.723590366633889e-05,1.7639161087560498e-05,4.032574212216001e-07,0.0120679264063932,1.4501661927332848e-07,2.520091475504252e-07
0.0212095088792019,5.000000004192502e-06,1.589962847540328e-06,-9.73909018997184e-06,9.960842062557475e-06,2.2175187258564385e-07,0.0212095088792019,1.1366101275267805e-07,2.847336233369816e-07
0.0372759372031493,4.999999999488626e-06,1.6034011917906745e-06,-8.620968387550801e-06,8.825674241213385e-06,2.0470585366259573e-07,0.0372759372031493,1.4228691284213538e-07,2.876724869927948e-07
0.0655128556859549,4.99999998937456e-06,1.6375167498099124e-06,-6.391702638067825e-06,6.561306486854602e-06,1.696038487867815e-07,0.0655128556859549,1.508049791060602e-07,2.9643085503243426e-07
0.1151395399326448,5.000000000944425e-06,1.6359483020821448e-06,-6.191495661178927e-06,6.361442749485822e-06,1.6994708830688814e-07,0.1151395399326448,2.074762473923241e-07,2.946404279590825e-07
0.2023589647725155,4.9999999960055125e-06,1.7302972753250266e-06,-2.486628433285959e-06,2.5783596707783388e-06,9.173123749238246e-08,0.2023589647725155,1.200796872609654e-07,3.154917741261341e-07
0.3556480306223121,5.000000001926167e-06,1.7397307665968845e-06,-1.961066487477489e-06,2.044116134855894e-06,8.304964737840262e-08,0.3556480306223121,1.3579042676050592e-07,3.175964196869893e-07
